"","block","s_1","s_2","plot","trt","y"
"164",24,30,10,164,37,87.149
"165",24,30,11,165,60,107.468
"166",24,32,11,166,50,110.018
"167",24,32,10,167,23,107.821
"168",24,32,9,168,14,90.475
"169",9,32,8,169,9,137.564
"170",9,32,7,170,3,93.628
"171",9,32,6,171,46,128.098
"172",9,32,5,172,52,134.335
"173",9,32,4,173,21,129.599
"174",9,32,3,174,39,101.773
"175",9,32,2,175,58,90.163
"176",9,32,1,176,32,129.161
"177",12,34,1,177,64,126.862
"178",12,34,2,178,38,122.108
"179",12,34,3,179,51,136.476
"180",12,34,4,180,47,120.436
"181",12,34,5,181,26,121.629
"182",12,34,6,182,4,124.481
"183",12,34,7,183,13,110.894
"184",12,34,8,184,17,112.334
"185",21,34,9,185,7,98.527
"186",21,34,10,186,10,99.819
"187",21,34,11,187,29,97.811
"188",21,36,5,188,24,107.839
"189",21,36,4,189,54,123.162
"190",21,36,3,190,57,100.141
"191",21,36,2,191,35,129.226
"192",21,36,1,192,44,113.069
